question,answer
Which AI model is used for generating AI avatars?,StyleGAN
Which AI model is used for AI-generated handwriting?,HandwritingGAN
Which AI model is used for code completion?,Codex
Which AI model is used for medical image analysis?,UNet
Which AI model is used for anomaly detection?,IsolationForest
Which AI model is used for sentiment analysis?,DistilBERT
Which AI model is used for AI-powered document summarization?,Pegasus
Which AI model is used for autonomous driving?,PerceptionNet
Which AI model is used for multimodal learning?,VisionTransformer
Which AI model is used for generating AI-powered captions?,ShowAndTell
Which AI model is used for financial forecasting?,DeepAR
Which AI model is used for video understanding?,VideoBERT
Which AI model is used for AI-powered legal document analysis?,LegalBERT
Which AI model is used for generating AI-powered news articles?,GPTNews
Which AI model is used for human motion prediction?,MoPred
Which AI model is used for detecting AI-generated text?,RoBERTa
Which AI model is used for AI-powered math solving?,MathGPT
Which AI model is used for AI-generated 3D landscapes?,DeepLandscape
Which AI model is used for self-supervised learning?,SimCLR
Which AI model is used for AI-powered code translation?,CodeT5
Which AI model is used for document question answering?,DocT5
Which AI model is used for AI-powered medical diagnostics?,MedBERT
Which AI model is used for AI-generated poetry?,PoetRNN
Which AI model is used for AI-powered audio enhancement?,DeepAudio
Which AI model is used for AI-powered cybersecurity?,AIShield
Which field of AI focuses on learning from experience?,MachineLearning
Which AI technique allows machines to mimic human reasoning?,ExpertSystems
Which algorithm is used for AI pathfinding?,AStar
Which AI model is used for natural language understanding?,BERT
Which AI approach is used in self-driving cars?,ReinforcementLearning
Which AI system defeated human players in Go?,AlphaGo
Which method enables AI to learn from interactions?,ReinforcementLearning
Which concept refers to AI improving itself over time?,SelfLearning
Which AI model generates human-like text?,GPT
Which AI technique allows robots to understand speech?,SpeechRecognition
Which type of AI does not require human intervention?,AutonomousAI
Which AI model is used for chatbot development?,Transformer
Which AI branch studies problem-solving?,CognitiveAI
Which algorithm is used in AI recommendation systems?,CollaborativeFiltering
Which AI concept focuses on imitating human decision-making?,HeuristicSearch
Which AI technique is used in deepfake generation?,GAN
Which framework is commonly used for AI development?,TensorFlow
Which AI technique is used for automated game playing?,Qlearning
Which AI approach is used for face recognition?,DeepLearning
Which AI method helps in medical diagnosis?,ExpertSystems
Which technique enables AI to understand emotions?,SentimentAnalysis
Which AI approach is used for detecting fraud?,AnomalyDetection
Which AI model is used for machine translation?,Seq2Seq
Which technique allows AI to generate human faces?,GAN
Which AI method is used for detecting fake news?,NLP
Which AI principle focuses on AI ethics?,Fairness
Which AI technology enables speech-to-text conversion?,ASR
Which AI concept deals with machines recognizing images?,ComputerVision
Which AI model is used in AI-powered search engines?,VectorSearch
Which AI algorithm is used for robot navigation?,SLAM
Which AI method enables robots to interact with objects?,Grasping
Which AI technology is used in virtual assistants?,NLP
Which AI approach is used in autonomous drones?,ReinforcementLearning
Which AI method is used in stock market prediction?,TimeSeriesAnalysis
Which AI framework is used for large-scale AI models?,DeepSpeed
Which AI concept involves AI explaining its decisions?,Explainability
Which AI model is used for question-answering?,T5
Which AI technique helps AI understand sarcasm?,SentimentAnalysis
Which AI system powers Google Translate?,NeuralMachineTranslation
Which AI method is used for weather prediction?,LSTM
Which AI technique is used in self-learning chatbots?,ReinforcementLearning
Which AI model is used for object detection?,YOLO
Which AI technology is used in real-time translation?,Whisper
Which AI method is used for fake video detection?,DeepLearning
Which AI technique is used for summarizing text?,ExtractiveSummarization
Which AI framework is optimized for edge devices?,TensorFlowLite
Which AI model is used in AI-generated music?,MuseNet
Which AI approach is used in personalized recommendations?,ReinforcementLearning
Which AI technique is used in DNA sequence analysis?,Bioinformatics
Which AI technology helps optimize supply chain management?,AIOptimization
Which AI approach is used in weather forecasting?,NumericalSimulation
Which AI model is used in sentiment analysis?,DistilBERT
Which AI technique helps machines recognize handwriting?,OCR
Which AI method is used in autonomous robots?,DeepReinforcementLearning
Which AI concept refers to the ability to generalize?,GeneralAI
Which AI technique is used for summarizing long documents?,AbstractiveSummarization
Which AI approach is used in medical imaging analysis?,DeepLearning
Which AI framework is optimized for robotics?,IsaacGym
Which AI model is used in speech synthesis?,Tacotron
Which AI method improves AI-generated images?,StyleTransfer
Which AI approach is used in AI-generated stories?,LanguageModels
Which AI technique is used in AI-powered video editing?,NeuralRendering
Which AI system is used for AI-generated poetry?,GPT
Which AI technology enables AI to recognize objects?,ImageSegmentation
Which AI model is used in AI-powered advertising?,ReinforcementLearning
Which AI method is used for AI-generated 3D animations?,NeRF
Which AI technique helps AI learn without labeled data?,SelfSupervisedLearning
Which AI approach is used in facial animation?,GAN
Which AI method is used in AI-driven sports analytics?,ComputerVision
Which AI model is used in AI-generated news articles?,GPT
Which AI concept deals with AI-generated voices?,TextToSpeech
Which AI framework is used for AI-powered creativity?,StableDiffusion
Which AI method is used in video frame interpolation?,DVPF
Which AI technique is used in AI-generated paintings?,NeuralStyleTransfer
Which AI system is used in AI-powered cinematography?,DeepVideoEditing
Which AI model is used in AI-generated fashion design?,GAN
Which AI approach is used in AI-powered game characters?,ReinforcementLearning
Which AI method helps AI create realistic landscapes?,GauGAN
Which AI technology is used in AI-powered virtual worlds?,NeuralRendering
Which AI concept is used in AI-generated film scripts?,AIStoryWriting
Which AI technique is used in AI-generated book summaries?,Summarization
Which AI approach is used in AI-generated scientific papers?,GPT
Which AI method is used in AI-powered home automation?,SmartAI
Which AI model is used in AI-powered music generation?,Jukebox
Which AI framework is used in AI-powered augmented reality?,DeepAR
Which AI system is used in AI-generated website designs?,AIWebDesign
Which AI technique is used in AI-powered interior design?,StyleTransfer
Which AI model is used in AI-powered product recommendations?,DeepLearning
Which AI concept is used in AI-powered storytelling?,NeuralStory
Which AI method helps AI generate color palettes?,AIColorization
Which AI technology is used in AI-generated comic books?,DeepComics
Which AI approach is used in AI-powered sound synthesis?,NeuralAudio
Which AI model is used in AI-generated dance movements?,PoseEstimation
Which AI technique is used in AI-powered speech-to-text?,ASR
Which country is known for the Colosseum?,Italy
What is the capital of Canada?,Ottawa
Who discovered the law of gravity?,Newton
Which is the longest river in South America?,Amazon
What is the national bird of the USA?,Eagle
Who was the first woman to win a Nobel Prize?,Curie
What is the main ingredient in hummus?,Chickpeas
Which continent is the driest?,Antarctica
Which gas is also known as laughing gas?,NitrousOxide
Which ocean is the largest?,Pacific
Which city is known as the City of Canals?,Venice
What is the currency of South Africa?,Rand
Who wrote '1984'?,Orwell
Which U.S. state is known for Las Vegas?,Nevada
What is the national flower of China?,Peony
Which instrument is used to measure air pressure?,Barometer
What is the largest island in the Caribbean?,Cuba
Which planet has the Great Red Spot?,Jupiter
Who was the first person to climb Mount Everest?,Hillary
Which country is known for producing the most coffee?,Brazil
Which keyword is used to define an object?,new
Which method finds the first match in a string?,match
Which event is triggered when a user presses a key?,keydown
What does `localStorage` store data as?,String
Which function capitalizes the first letter of a string?,charAt
Which function adds an element at a specific index?,splice
Which JavaScript method checks if an array contains a value?,includes
Which function merges two arrays?,concat
Which function returns the ASCII code of a character?,charCodeAt
Which event is triggered when a form is submitted?,submit
What does `document.getElementsByClassName()` return?,Collection
Which function delays execution of a function?,setTimeout
Which loop runs at least once?,do-while
What is the purpose of `typeof`?,CheckType
Which keyword is used to declare a function?,function
Which method converts an object to a JSON string?,JSONstringify
What does `parseFloat()` do?,Convert
Which JavaScript framework is developed by Facebook?,React
Which object represents the browser window?,window
Which part of the plant conducts photosynthesis?,Leaf
Which planet has the shortest day?,Jupiter
What is the chemical symbol for potassium?,K
Which mineral is necessary for blood clotting?,Calcium
Which gas do plants release during photosynthesis?,Oxygen
What is the most abundant gas in Earth's atmosphere?,Nitrogen
What is the SI unit of temperature?,Kelvin
Which part of the brain controls breathing?,Medulla
What is the chemical formula for methane?,CH4
Which element is a liquid metal at room temperature?,Mercury
What is the speed of sound in dry air (m/s)?,343
Which part of the eye controls the amount of light entering?,Pupil
Which blood cells help fight infection?,White
What is the process of water turning into vapor?,Evaporation
Which vitamin is found in carrots?,A
Which gas is used in light bulbs?,Argon
What is the powerhouse of the cell?,Mitochondria
What is the chemical formula for carbon monoxide?,CO
Which planet is known as the Ice Giant?,Neptune
Which part of the ear helps with balance?,Cochlea
Which company created the Linux kernel?,Torvalds
Which programming language is used for web development?,JavaScript
Which protocol is used to send emails?,SMTP
What is the full form of LAN?,LocalAreaNetwork
Which key shortcut closes a tab in a browser?,CtrlW
Which command is used to remove a directory in Linux?,rmdir
Which company developed the C# language?,Microsoft
Which database is relational?,PostgreSQL
Which cloud service is developed by IBM?,IBMCloud
What is the function of an operating system?,ManageResources
What does HTTP stand for?,HyperTextTransferProtocol
Which programming language is known for data analysis?,Python
What is the default file extension for JavaScript?,js
Which device is used for input?,Keyboard
What does GUI stand for?,GraphicalUserInterface
Which company developed Git?,Linux
Which protocol is used for secure web browsing?,HTTPS
Which key combination refreshes a page?,CtrlR
Which company created the Python language?,PSF
Which command lists files in a directory?,ls
Which superhero is known as the Dark Knight?,Batman
Which festival celebrates the Hindu New Year?,Diwali
Which famous detective lives at 221B Baker Street?,Holmes
Which car company has a logo with four rings?,Audi
Which fruit is known as the 'King of Fruits'?,Mango
Which board game involves buying and trading properties?,Monopoly
Which sport is played on a diamond-shaped field?,Baseball
Which sea creature has eight arms?,Octopus
Which holiday is celebrated on July 4th in the USA?,IndependenceDay
Which mythical creature breathes fire?,Dragon
Which bird is known for imitating human speech?,Parrot
Which European country is shaped like a boot?,Italy
Which planet has a surface temperature hot enough to melt lead?,Venus
Which animal is known for its long neck?,Giraffe
Which novel tells the story of a whale named Moby Dick?,MobyDick
Which game features blocks falling from above?,Tetris
Which country is famous for producing chocolate?,Switzerland
Which fruit is often associated with Isaac Newton?,Apple
Which fictional detective has an assistant named Watson?,Holmes
Which city is known as the Fashion Capital?,Paris
Which neural network is used for image recognition?,CNN
Which activation function is commonly used in deep networks?,ReLU
Which type of neural network is used for sequence modeling?,RNN
Which model is used for natural language processing?,Transformer
Which algorithm is used to train deep neural networks?,Backpropagation
Which function is used to initialize weights in deep learning?,Xavier
Which layer is used to reduce spatial dimensions in CNNs?,Pooling
Which loss function is used for binary classification?,BinaryCrossEntropy
Which deep learning framework is developed by Google?,TensorFlow
Which optimization algorithm is commonly used in deep learning?,Adam
Which neural network type is used for image segmentation?,UNet
Which technique prevents overfitting in deep networks?,Dropout
Which model is used for real-time object detection?,YOLO
Which model is used for super-resolution image generation?,SRGAN
Which type of neural network is used in speech recognition?,LSTM
Which activation function is used in LSTMs?,Tanh
Which loss function is used in GANs?,WassersteinLoss
Which deep learning framework is developed by Facebook?,PyTorch
Which type of network is used in autoencoders?,FeedForward
Which function normalizes activations in a neural network?,BatchNorm
Which technique improves convergence in deep networks?,GradientClipping
Which model generates realistic images?,GAN
Which deep learning architecture is used in style transfer?,VGG
Which optimizer is best for training transformers?,AdamW
Which metric evaluates generative models?,FrechetInceptionDistance
Which layer is used in attention mechanisms?,SelfAttention
Which neural network is used in reinforcement learning?,DQN
Which model is used for document summarization?,T5
Which deep learning model is used for protein structure prediction?,AlphaFold
Which technique is used to speed up deep learning training?,Parallelization
Which architecture is used in chatbots?,GPT
Which activation function is used in transformers?,GELU
Which framework is used for federated learning?,TensorFlowFederated
Which loss function is used for multi-class classification?,CategoricalCrossEntropy
Which model is used for face recognition?,FaceNet
Which neural network is used in self-driving cars?,CNN
Which model is used for question answering?,BERT
Which framework is used for edge AI applications?,TensorFlowLite
Which algorithm is used in convolutional neural networks?,Backpropagation
Which model is used for speech synthesis?,Tacotron
Which function computes cosine similarity between vectors?,CosineSimilarity
Which neural network is used for machine translation?,Seq2Seq
Which technique is used for knowledge distillation?,TeacherStudent
Which layer is used in GAN discriminators?,LeakyReLU
Which model is used for time-series anomaly detection?,LSTM
Which network is used for video classification?,C3D
Which model is used for real-time speech translation?,Whisper
Which activation function is used in output layers?,Softmax
Which method fine-tunes pre-trained models?,TransferLearning
Which loss function is used in perceptual loss?,MSE
Which neural network architecture learns hierarchical features?,DeepCNN
Which framework is used for training large-scale deep learning models?,DeepSpeed
Which algorithm is used for neural architecture search?,NAS
Which method is used to improve model generalization?,DataAugmentation
Which deep learning model is used for denoising images?,DenoisingAutoencoder
Which model is used for 3D object generation?,NeRF
Which loss function is used in contrastive learning?,TripletLoss
Which model is used for handwriting generation?,PixelCNN
Which neural network model predicts music sequences?,MuseNet
Which framework is optimized for mobile deep learning?,CoreML
Which loss function is used in Siamese networks?,ContrastiveLoss
Which model is used for detecting emotions in text?,DistilBERT
Which architecture is used in CLIP models?,VisionTransformer
Which model is used for video frame interpolation?,DVPF
Which framework is used for scalable deep learning?,Horovod
Which optimizer is used in large-scale models?,LAMB
Which model is used for zero-shot classification?,CLIP
Which loss function is used in VAE training?,KL-Divergence
Which technique is used in few-shot learning?,MetaLearning
Which deep learning framework is used for robotics?,IsaacGym
Which model is used for generating 3D objects from images?,PointNet
Which neural network is used in GAN generators?,TransposedCNN
Which algorithm is used in deep Q-learning?,ExperienceReplay
Which loss function is used in object detection?,IoULoss
Which deep learning model is used in autonomous drones?,DeepRL
Which technique is used for compressing deep learning models?,Pruning
Which function is used for spectral normalization?,SpectralNorm
Which network architecture is used for wavelet transforms?,WaveletCNN
Which method improves robustness against adversarial attacks?,AdversarialTraining
Which model is used in super-resolution tasks?,ESRGAN
Which framework is used for differentiable programming?,JAX
Which model is used for generating high-resolution images?,StyleGAN
Which neural network is used for music generation?,Transformer
Which model is used for scene understanding?,SceneGraph
Which technique helps stabilize GAN training?,GradientPenalty
Which deep learning model is used in digital pathology?,DeepPath
Which model is used for AI-powered animation?,DeepMotion
Which deep learning model is used for automatic captioning?,ShowAndTell
Which technique is used in lifelong learning?,ElasticWeightConsolidation
Which model is used for AI-powered image editing?,GauGAN
Which deep learning technique is used for self-play AI?,AlphaZero
Which loss function is used in energy-based models?,ContrastiveDivergence
Which model is used in AI-generated avatars?,NeuralRendering
Which deep learning technique enables zero-shot learning?,VisionLanguageModels
Which framework is optimized for deep learning inference?,ONNX
Which data structure follows LIFO?,Stack
Which data structure follows FIFO?,Queue
Which sorting algorithm has O(n^2) worst-case complexity?,BubbleSort
Which sorting algorithm is the fastest in the average case?,QuickSort
Which data structure is used for recursion?,Stack
Which data structure is used for BFS traversal?,Queue
Which tree has all nodes with at most two children?,BinaryTree
Which data structure is used for priority queues?,Heap
Which algorithm is used to find the shortest path in a graph?,Dijkstra
Which data structure is used for LRU cache implementation?,LinkedHashMap
Which algorithm is used to find the minimum spanning tree?,Kruskal
Which algorithm is used for topological sorting?,Kahn
Which data structure is used for undo operations?,Stack
Which search algorithm is used in a balanced BST?,BinarySearch
Which data structure allows dynamic resizing?,ArrayList
Which data structure is best for fast lookups?,HashTable
Which tree traversal visits nodes in sorted order?,InOrder
Which hashing technique avoids collisions using chaining?,SeparateChaining
Which algorithm is used to detect cycles in a graph?,DFS
Which data structure is used to implement a call stack?,Stack
Which algorithm is used to find the largest strongly connected component?,Kosaraju
Which sorting algorithm is based on the divide and conquer strategy?,MergeSort
Which tree stores elements in a self-balancing manner?,AVLTree
Which data structure is used in a circular buffer?,Queue
Which graph algorithm is used for finding bridges?,Tarjan
Which algorithm finds the longest common subsequence?,LCS
Which data structure is used for breadth-first search?,Queue
Which heap is used in the heap sort algorithm?,BinaryHeap
Which algorithm is used to find connected components in a graph?,DFS
Which algorithm is used for substring searching?,KMP
Which tree balances itself after insertion and deletion?,RedBlackTree
Which algorithm finds the shortest path in an unweighted graph?,BFS
Which algorithm finds the longest increasing subsequence?,LIS
Which algorithm is used for maximum bipartite matching?,HopcroftKarp
Which algorithm is used for cycle detection in a directed graph?,Floyd
Which data structure supports O(1) insertion and deletion?,LinkedList
Which data structure is used in a hash table for collision resolution?,Chaining
Which algorithm finds articulation points in a graph?,Tarjan
Which sorting algorithm is not comparison-based?,CountingSort
Which algorithm is used for convex hull computation?,GrahamScan
Which data structure is used for efficient string searching?,Trie
Which graph traversal algorithm uses a stack?,DFS
Which algorithm is used for nearest neighbor search?,KDTree
Which heap operation removes the highest-priority element?,ExtractMax
Which sorting algorithm performs best on nearly sorted data?,InsertionSort
Which algorithm is used for finding Eulerian paths?,Hierholzer
Which algorithm is used for finding Hamiltonian cycles?,Backtracking
Which data structure is used in Huffman coding?,PriorityQueue
Which algorithm is used for solving the subset sum problem?,DynamicProgramming
Which algorithm is used for matrix chain multiplication?,DP
Which data structure supports fast prefix searches?,Trie
Which algorithm finds the articulation points in a graph?,Tarjan
Which data structure is used in Disjoint Set Union?,UnionFind
Which algorithm finds the shortest paths from a single source?,BellmanFord
Which algorithm is used for finding SCCs in a graph?,Kosaraju
Which algorithm is used for maximum flow in a network?,FordFulkerson
Which algorithm is used to solve the traveling salesman problem?,BranchAndBound
Which algorithm finds bridges in a graph?,Tarjan
Which algorithm is used for the rod cutting problem?,DynamicProgramming
Which data structure is used for efficient range queries?,SegmentTree
Which algorithm finds the longest palindromic subsequence?,Manacher
Which data structure is used in Rabin-Karp pattern matching?,HashTable
Which algorithm is used in PageRank?,PowerIteration
Which algorithm is used for bipartite graph checking?,BFS
Which sorting algorithm is stable and in-place?,MergeSort
Which algorithm finds the diameter of a tree?,DFS
Which algorithm finds the largest independent set in a graph?,DynamicProgramming
Which algorithm finds the largest rectangle in a histogram?,Stack
Which algorithm is used for 2-SAT problems?,Tarjan
Which algorithm finds articulation edges in a graph?,Tarjan
Which algorithm finds the centroid of a tree?,DFS
Which algorithm finds the shortest path in a DAG?,TopologicalSort
Which algorithm is used for approximate string matching?,Levenshtein
Which data structure is used for sparse matrix representation?,CSR
Which data structure efficiently finds the lowest common ancestor?,SegmentTree
Which algorithm is used in Treap?,RandomizedBST
Which algorithm finds the number of connected components in a graph?,DFS
Which algorithm is used for frequency counting?,CountingSort
Which algorithm is used for maximum rectangle in a binary matrix?,Stack
Which algorithm is used for finding biconnected components?,Tarjan
Which data structure is used for finding median in a stream?,Heap
Which data structure supports range minimum queries efficiently?,SparseTable
Which algorithm is used for substring concatenation in a string?,Trie
Which algorithm is used for minimum edit distance?,DynamicProgramming
Which algorithm is used for skyline problems?,DivideAndConquer
Which algorithm is used for fast matrix exponentiation?,BinaryExponentiation
Which algorithm is used for all-pairs shortest paths?,FloydWarshall
Which algorithm is used for wildcard pattern matching?,DynamicProgramming
Which algorithm is used for the knapsack problem?,DynamicProgramming
Which algorithm finds strongly connected components?,Tarjan
Which data structure is used for interval scheduling?,Heap
Which algorithm finds Eulerian circuits?,Fleury
Which algorithm finds longest palindromic substring?,Manacher
Which data structure is used in a Fenwick Tree?,BinaryIndexedTree
Which algorithm is used for MST in dense graphs?,Prim
Which algorithm is used in balanced parenthesis checking?,Stack
Which country has the most islands?,Sweden
Who was the first female Prime Minister of the UK?,Thatcher
Which animal is known as the symbol of peace?,Dove
Which is the tallest statue in the world?,StatueOfUnity
Who invented the World Wide Web?,BernersLee
What is the currency of Argentina?,Peso
Which is the only continent without reptiles?,Antarctica
What is the longest-running animated TV show?,Simpsons
Which is the oldest city in the world?,Jericho
Who discovered the planet Uranus?,Herschel
What is the coldest place on Earth?,VostokStation
Which country has the most volcanoes?,Indonesia
What is the national dish of Spain?,Paella
Who was the first woman in space?,Tereshkova
Which river runs through London?,Thames
Which desert is known as the driest place on Earth?,Atacama
What is the largest island in the world?,Greenland
Who painted 'Guernica'?,Picasso
Which is the most spoken language in the world?,English
Which country is famous for its fjords?,Norway
Which function removes the last character from a string?,slice
Which method converts an object into a JSON string?,JSONstringify
Which event fires when an input field is changed?,change
Which keyword allows a function to run asynchronously?,async
Which loop is best for iterating over arrays?,forEach
Which method finds the first occurrence of a value in an array?,indexOf
Which function converts a string to uppercase?,toUpperCase
Which JavaScript engine powers Google Chrome?,V8
Which event triggers when a user scrolls?,scroll
Which method adds an item to the beginning of an array?,unshift
Which object holds global functions and variables?,window
Which function is used to stop an interval timer?,clearInterval
Which function is used to remove the first element of an array?,shift
Which method fills an array with a static value?,fill
Which function rounds a number up to the nearest integer?,ceil
What does `bind()` do in JavaScript?,Attach
Which property returns the length of a string?,length
Which method converts a number into a fixed decimal string?,toFixed
Which function parses a JSON string into an object?,JSONparse
Which operator is used to check for object properties?,in
Which part of the body produces red blood cells?,BoneMarrow
What is the largest planet in our solar system?,Jupiter
Which type of rock is formed from compressed sediment?,Sedimentary
Which gas makes up the majority of Earth's atmosphere?,Nitrogen
Which vitamin helps with blood clotting?,K
Which planet is known for having rings?,Saturn
Which part of the human body regenerates fastest?,Liver
What is the heaviest naturally occurring element?,Uranium
Which gas is known as laughing gas?,NitrousOxide
Which part of the cell contains DNA?,Nucleus
Which gland regulates metabolism?,Thyroid
What is the largest type of whale?,BlueWhale
Which force keeps the moon in orbit around Earth?,Gravity
What is the smallest unit of matter?,Atom
Which type of blood cell fights infection?,White
What is the common name for sodium chloride?,Salt
Which gas is used in balloons to make them float?,Helium
What is the second most abundant element in Earth's crust?,Silicon
Which part of the ear helps with balance?,Cochlea
What is the hardest known natural material?,Diamond
Which language is primarily used for iOS development?,Swift
Which key shortcut pastes copied text?,CtrlV
Which symbol is used for comments in SQL?,--
Which database type is used for big data?,NoSQL
Which company developed PHP?,Zend
Which Linux command displays the current directory?,pwd
Which file format is used for storing web cookies?,txt
Which programming paradigm does JavaScript follow?,Functional
Which protocol is used for secure email transfer?,IMAP
Which shortcut key is used to undo an action?,CtrlZ
Which language is used for developing Android apps?,Kotlin
Which company developed the Python language?,PSF
Which command is used to create a new Git branch?,gitBranch
Which cloud platform is developed by Microsoft?,Azure
Which device converts digital signals into analog?,Modem
Which port is used for FTP communication?,21
Which type of memory is volatile?,RAM
Which HTML tag is used to create a checkbox?,input
"Which programming language is known as 'write once, run anywhere'?",Java
Who invented the first mechanical computer?,Babbage
Which dog breed is known as a racing dog?,Greyhound
Which chess piece moves in a straight line?,Rook
Which fruit has its seeds on the outside?,Strawberry
Who is the author of 'The Great Gatsby'?,Fitzgerald
Which city is known as the City of Love?,Paris
Which country is home to Mount Everest?,Nepal
What is the currency of Canada?,Dollar
Which metal is used to make coins?,Nickel
Who invented the electric bulb?,Edison
Which animal is known as man's best friend?,Dog
Which festival is celebrated with pumpkins?,Halloween
What is the traditional drink of Japan?,Sake
Which country is known for maple syrup?,Canada
What is the capital of Thailand?,Bangkok
Which mythical bird rises from its ashes?,Phoenix
What is the official language of Brazil?,Portuguese
Which superhero has a shield with a star?,CaptainAmerica
What is the currency of Italy before the Euro?,Lira
Which country is known for the Eiffel Tower?,France
Who was the first man to walk on the moon?,Armstrong
What is the capital of Argentina?,BuenosAires
Which planet has the strongest winds?,Neptune
Who discovered radium?,Curie
What is the smallest bone in the human body?,Stapes
Which metal is the best conductor of electricity?,Silver
Which is the highest waterfall in the world?,AngelFalls
What is the chemical formula for ammonia?,NH3
Which desert is the largest hot desert?,Sahara
What is the capital of Turkey?,Ankara
What is the national flower of the USA?,Rose
Who wrote 'War and Peace'?,Tolstoy
What is the lightest element?,Hydrogen
What is the rarest blood type?,ABNegative
Who discovered the electron?,Thomson
Which continent has the highest population?,Asia
What is the capital of Switzerland?,Bern
Which ocean is the smallest?,Arctic
What is the hottest planet in the solar system?,Venus
Which country is the largest producer of coffee?,Brazil
Which function converts a number to a string?,toString
Which method removes elements from an array?,splice
Which function is used to find the length of a string?,length
Which keyword prevents variable reassignment?,const
Which object handles date and time in JS?,Date
What does `setTimeout` return?,ID
Which function executes a function on each array item?,forEach
Which statement stops a loop?,break
Which method extracts a portion of a string?,slice
Which keyword is used for inheritance in JS?,extends
